Most negative lemmas,Most positive lemmas
"('oath', 1.0)","('snapdragon', 5.0)"
"('shalt', 1.0)","('ife', 5.0)"
"('unprofessionalism', 1.1666666666666667)","('amelia', 5.0)"
"('crusher', 1.2857142857142858)","('quan', 5.0)"
"('argumentative', 1.2941176470588236)","('acupuncture', 4.972222222222222)"
"('authorize', 1.3)","('kent', 4.9411764705882355)"
"('voided', 1.3)","('oratory', 4.9375)"
"('unethical', 1.3513513513513513)","('shavery', 4.933333333333334)"
"('despicable', 1.4)","('physique', 4.923076923076923)"
"('unkind', 1.4)","('lilac', 4.916666666666667)"
"('violently', 1.4285714285714286)","('ariel', 4.9)"
"('disrespectful', 1.4322033898305084)","('lori', 4.895833333333333)"
"('livid', 1.4594594594594594)","('bracken', 4.888888888888889)"
"('negligence', 1.4705882352941178)","('shelly', 4.875)"
"('incompetent', 1.480263157894737)","('noel', 4.857142857142857)"
"('fraud', 1.4901960784313726)","('chaka', 4.857142857142857)"
"('disgusted', 1.4946808510638299)","('simulator', 4.85)"
"('unconcerned', 1.5)","('dexter', 4.842105263157895)"
"('inexcusable', 1.5)","('nougat', 4.833333333333333)"
"('refund', 1.5121621621621621)","('choir', 4.833333333333333)"
"('uneatable', 1.5263157894736843)","('boudoir', 4.823529411764706)"
"('gall', 1.5294117647058822)","('muzzle', 4.8)"
"('disturbingly', 1.5454545454545454)","('moulin', 4.8)"
"('authorization', 1.55)","('tay', 4.8)"
"('discrimination', 1.5555555555555556)","('reina', 4.8)"
"('unprofessional', 1.5593952483801297)","('feline', 4.7894736842105265)"
"('sarcastically', 1.56)","('euphoric', 4.7894736842105265)"
"('incompetence', 1.5614035087719298)","('nationally', 4.769230769230769)"
"('dishwater', 1.5714285714285714)","('limu', 4.764705882352941)"
"('feces', 1.5769230769230769)","('am', 4.75)"
"('unmelted', 1.5833333333333333)","('henna', 4.75)"
"('scum', 1.5925925925925926)","('unrivaled', 4.75)"
"('liar', 1.6041666666666667)","('infectious', 4.7368421052631575)"
"('disgrace', 1.6097560975609757)","('effortless', 4.7368421052631575)"
"('furious', 1.6233766233766234)","('waxer', 4.7272727272727275)"
"('accused', 1.625)","('miraculous', 4.7272727272727275)"
"('carelessness', 1.6363636363636365)","('layman', 4.7272727272727275)"
"('disgraceful', 1.6363636363636365)","('toxin', 4.7272727272727275)"
"('fuming', 1.6428571428571428)","('masterful', 4.72)"
"('deceitful', 1.6470588235294117)","('perfectionist', 4.717391304347826)"
"('bedbug', 1.6538461538461537)","('airbrush', 4.714285714285714)"
"('uncalled', 1.6666666666666667)","('rainfall', 4.7)"
"('scam', 1.6666666666666667)","('thorn', 4.7)"
"('rudely', 1.6712962962962963)","('patel', 4.7)"
"('worst', 1.671424323520666)","('rehabilitation', 4.7)"
"('rancid', 1.681159420289855)","('keepsake', 4.7)"
"('sham', 1.6818181818181819)","('immerse', 4.7)"
"('negligent', 1.6875)","('obedience', 4.6923076923076925)"
"('unhelpful', 1.6893203883495145)","('splinter', 4.6923076923076925)"
"('reimbursement', 1.6923076923076923)","('emulsion', 4.6923076923076925)"
"('oversold', 1.6923076923076923)","('hydration', 4.6875)"
"('compensation', 1.6951219512195121)","('passionate', 4.685)"
